strongNumber,etymDesc,heading,entrycontent
1,une racine,père,"1) père d'un individu<br>2) Dieu père de son peuple<br>3) tête ou fondateur d'une maisonnée, d'un groupe, d'une famille, ou clan<br>4) ancêtre<br>  4a) grand-père, ancêtres d'une personne<br>  4b) d'un peuple<br>5) auteur ou patron d'une classe, profession, ou art<br>6) terme de respect et d'honneur<br>9) gouvernant, souverain, chef"
2,(araméen) correspondant à H1,père,1) père
3,comme H24,vert,"1) fraîcheur, herbe verte, ou verdure"
4,(araméen) correspondant à H3,fruit,"1) fruit frais, jeune"
5,d'origine étrangère,Abagtha,"Abagtha = ""heureux, prospère""<br>1) un des sept chambellans du roi de Perse Assuérus.<br>2) Gardiens du harem, il s'agit d'eunuques comme l'usage l'exigeait.<br>3) C'étaient probablement des étrangers, porteurs de noms étrangers."
6,racine primaire,périr,"1) périr, s'évanouir, être détruit<br>  1a) périr, mourir, être exterminé<br>  1b) détruire, tuer, exterminer<br>  1c) jugement divin qui amène à la mort"
7,(araméen) correspondant à H6,détruire,"1) périr, s'évanouir, détruire, être détruit"
8,participe de H6,détruit,1) destruction
9,de H6,chose perdue,"1) une chose perdue, quelque-chose de perdu"
10,"le même que H9, incorrectement écrit pour 11",destruction,"1) une chose perdue, quelque chose de perdu"
11,intensif de H6,destruction,"1) destruction, ruine, abîme voir définition 3"
12,de H6,destruction,1) destruction
13,de H6,destruction,1) destruction
14,racine primaire,vouloir,"1) vouloir, accepter, consentir, obéir"
15,de H14,non traduit,"1) supplier, désir ardent"
16,de H14 (dans le sens de se plier),jonc,"1) roseau, papyrus, jonc"
17,de H14 (sens de désirer),hélas,1) hélas! Oh! (exclamation de peine - indique désir ou insatisfaction)
18,de H75,crèche,"1) mangeoire, crèche"
19,d'une racine du sens de tourner,chair abattue,"1) abattre, chair, viande, viande abattue"
20,dérivation incertaine,melons,"1) melon d'eau, fruit égyptien"
21,de H1,Abi,"Abi = ""mon père"", ""l'éternel est père""<br>1) mère d'Ezéchias (cf <a href=""strong-hebreu-29.html"" title=""Strong hébreu 029"">029</a>)"
22,de H1 et H410,Abiel,"Abiel = ""Dieu est mon père""<br>1) grand-père de Saïl"
23,de H1 et H622,Abiasaph,"Abiasaph = ""mon père a rassemblé "" (celui qui enlève l'opprobre)<br>1) fils (descendant) de Koré ou d'Elkana ?"
24,d'une racine du sens d'être tendre,épis,"1) épis, orge jeune<br>2) mois de la formation de l'épi, de l'herbe verte<br>3) Abib, mois de l'exode et de la pâque (Mars ou Avril)"
25,de H1 et H1391,père de Gabaon,"1) lieu où se trouvait le tabernacle du Seigneur, dans le haut lieu"
26,de H1 et H1524,Abigaïl,"Abigaïl = ""mon père est joie"", ""père de l'enthousiasme""<br>1) femme de Nabal, ensuite de David<br>2) soeur de David"
27,de H1 et H1777,Abidan,"Abidan = ""mon père est juge"", ""le père juge""<br>1) un prince (souverain) de Benjamin, fils de Guideoni"
28,de H1 et H3045,Abida,"Abida = ""père du savoir""<br>1) quatrième fils de Madian et petit-fils d'Abraham par sa femme Ketura (après la mort de Sara)"
29,de H1 et H3050,Abija,"Abija = ""L'Eternel est un père""<br>1) roi de Juda, fils et successeur de Roboam<br>2) second fils de Samuel<br>3) fils de Jéroboam premier, roi d'Israël<br>4) fils de Béker, un Benjamite<br>5) chef d'une maison de sacrificateurs (groupe de Lévites)<br>6) chef d'une maison de sacrificateurs après l'exil <br>n pr f 7) mère d'Ezéchias (cf <a href=""strong-hebreu-21.html"" title=""Strong hébreu 021"">021</a>)"
30,de H1 et H1931,Abihu,"Abihu = ""Dieu est père"", ""il est mon père""<br>1) fils d'Aaron, partagea les privilèges, le péché, la destinée de Nadab son aîné, et mourut sans postérité"
31,de H1 et H1935,Abihud,"Abihud = ""père de l'éloge"", ""père loué ""<br>1) Descendant de Benjamin par la lignée de Béla"
32,de H1 et H2428,Abihaïl,"Abihaïl = ""père de la force""<br>1) un Lévite du temps de Moïse<br>2) un homme de Gad<br>3) père d'Esther<br>4) épouse d'Abischur<br>5) épouse de Roboam"
33,de H44 avec article inséré,d'Abiézer,"Abiézer = ""mon père est secours""<br>1) membre de la famille d'Abiézer, un descendant du fils de Joseph, Manassé"
34,"de H14 , dans le sens d'être dans le besoin",pauvre,"1) dans le besoin, très pauvre, indigent<br>2) sujet à l'oppression et aux abus<br>3) besoin de délivrance, spécialement par Dieu<br>4) référence générale aux classes inférieures"
35,de H14,câpre,1) câpre (baie qui stimule le désir)
36,de H1 et H2898,Abithub,"Abithub = ""mon père est bonté ""<br>1) fils de Schacharaïm, un Benjamite"
37,de H1 et H2919,Abithal,"Abithal = ""mon père est (la) rosée""<br>1) une épouse de David"
38,de H1 et H3220,Abijam,"Abijam = ""père de la mer"", ou ""yam (la mer) est mon père""<br>1) roi de Juda, fils et successeur de Roboam"
39,de H1 et d'un autre mot inusité,Abimaël,"Abimaël = ""mon père est Maël"", ""mon père est Dieu""<br>1) fils de Jokthan, descendant de Sem"
40,de H1 et H4428,Abimélec,"Abimélec = ""Mélec est père"" ou ""mon père est roi""<br>1) roi de Guérar à l'époque d'Abraham<br>2) roi de Gath à l'époque de David<br>3) fils de Gédéon par une concubine<br>4) sacrificateur, fils d'Abiathar"
41,de H1 et H5068,Abinadab,"Abinadab = ""père de la générosité "", ""père de liberté ""<br>1) un homme de Guibea qui reçut l'arche<br>2) second fils d'Isaï, frère aîné de David<br>3) un fils de Saïl, tué avec lui par les Philistins"
