strongNumber,hebWord,lang,etymComplete,etymDesc,variants,morphology,heading,entrycontent,phonemes,multiarticle
1,אָב,H,,une racine,,N-M,père,"1) père d'un individu<br>2) Dieu père de son peuple<br>3) tête ou fondateur d'une maisonnée, d'un groupe, d'une famille, ou clan<br>4) ancêtre<br>  4a) grand-père, ancêtres d'une personne<br>  4b) d'un peuple<br>5) auteur ou patron d'une classe, profession, ou art<br>6) terme de respect et d'honneur<br>9) gouvernant, souverain, chef",ʾāv,
2,אַב,A,1+אב,(araméen) correspondant à H1,,N-M,père,1) père,ʾav,
3,אֵב,H,24+אביב,comme H24,,N-M,vert,"1) fraîcheur, herbe verte, ou verdure",ʾēv,
4,אֵב,A,3+אב,(araméen) correspondant à H3,,N-M,fruit,"1) fruit frais, jeune",ʾēv,
5,אֲבַגְתָא,H,,d'origine étrangère,,N_N-M-P,Abagtha,"Abagtha = ""heureux, prospère""<br>1) un des sept chambellans du roi de Perse Assuérus.<br>2) Gardiens du harem, il s'agit d'eunuques comme l'usage l'exigeait.<br>3) C'étaient probablement des étrangers, porteurs de noms étrangers.",ʾăvagtāʾ,
6,אָבַד,H,,racine primaire,,V,périr,"1) périr, s'évanouir, être détruit<br>  1a) périr, mourir, être exterminé<br>  1b) détruire, tuer, exterminer<br>  1c) jugement divin qui amène à la mort",ʾāvad,
7,אֲבַד,A,6+אבד,(araméen) correspondant à H6,,V,détruire,"1) périr, s'évanouir, détruire, être détruit",ʾăvad,
8,אֹבֵד,H,6+אבד,participe de H6,,N-M,détruit,1) destruction,ʾōvēd,
9,אֲבֵדָה,H,6+אבד,de H6,,N-F,chose perdue,"1) une chose perdue, quelque-chose de perdu",ʾăvēdā,
10,אֲבַדּוֹן,H,9+אבדה|11+אבדון,"le même que H9, incorrectement écrit pour 11",,N-F,destruction,"1) une chose perdue, quelque chose de perdu",ʾăvaddōn,
11,אֲבַדּוֹן,H,6+אבד,intensif de H6,,N_N--L,destruction,"1) destruction, ruine, abîme voir définition 3",ʾăvaddōn,
12,אַבְדָ֑ן,H,6+אבד,de H6,,N-M,destruction,1) destruction,ʾavdān,
13,אׇבְדַן,H,6+אבד,de H6,,N-M,destruction,1) destruction,ʾovdan,
14,אָבָה,H,,racine primaire,,V,vouloir,"1) vouloir, accepter, consentir, obéir",ʾāvā,
15,בָּיַי,H,14+אבה,de H14,,N-F,non traduit,"1) supplier, désir ardent",bāyay,
16,אֵ֫בֶה,H,14+אבה,de H14 (dans le sens de se plier),,N-M,jonc,"1) roseau, papyrus, jonc",ʾēveh,
17,אֲבוֹי,H,14+אבה,de H14 (sens de désirer),,INJ,hélas,1) hélas! Oh! (exclamation de peine - indique désir ou insatisfaction),ʾăvōy,
18,אֵבוּס,H,75+אבס,de H75,,N-M,crèche,"1) mangeoire, crèche",ʾēvūs,
19,אִבְחָה,H,,d'une racine du sens de tourner,,N-F,chair abattue,"1) abattre, chair, viande, viande abattue",ʾivḥā,
20,אֲבַטִּחִים,H,,dérivation incertaine,,N-M,melons,"1) melon d'eau, fruit égyptien",ʾăvaṭṭiḥīm,
21,אֲבִי,H,1+אב,de H1,,N_N-F-P,Abi,"Abi = ""mon père"", ""l'éternel est père""<br>1) mère d'Ezéchias (cf <a href=""strong-hebreu-29.html"" title=""Strong hébreu 029"">029</a>)",ʾăvī,
22,אֲבִיאֵל,H,1+אב|410+אל,de H1 et H410,,N_N-M-P,Abiel,"Abiel = ""Dieu est mon père""<br>1) grand-père de Saïl",ʾăvīʾēl,
23,אֲבִיאָסָף,H,1+אב|622+אסף,de H1 et H622,,N_N-M-P,Abiasaph,"Abiasaph = ""mon père a rassemblé "" (celui qui enlève l'opprobre)<br>1) fils (descendant) de Koré ou d'Elkana ?",ʾăvīʾāsāf,
24,אָבִיב,H,,d'une racine du sens d'être tendre,,N_N-M-T;N-M,épis,"1) épis, orge jeune<br>2) mois de la formation de l'épi, de l'herbe verte<br>3) Abib, mois de l'exode et de la pâque (Mars ou Avril)",ʾāvīv,
25,אֲבִי גִבְעוֹן,H,1+אב|1391+גבעון,de H1 et H1391,,N_N-M-P;N_N--L,père de Gabaon,"1) lieu où se trouvait le tabernacle du Seigneur, dans le haut lieu",ʾăvī givʿōn,
26,"אֲבִיגַ֫יִל, אֲבִיגַ֫ל",H,1+אב|1524+גיל,de H1 et H1524,,N_N-F-P,Abigaïl,"Abigaïl = ""mon père est joie"", ""père de l'enthousiasme""<br>1) femme de Nabal, ensuite de David<br>2) soeur de David","ʾăvīgayil, ʾăvīgal",
27,אֲבִידָן,H,1+אב|1777+דין דון,de H1 et H1777,,N_N-M-P,Abidan,"Abidan = ""mon père est juge"", ""le père juge""<br>1) un prince (souverain) de Benjamin, fils de Guideoni",ʾăvīdān,
28,אֲבִידָע,H,1+אב|3045+ידע,de H1 et H3045,,N_N-M-P,Abida,"Abida = ""père du savoir""<br>1) quatrième fils de Madian et petit-fils d'Abraham par sa femme Ketura (après la mort de Sara)",ʾăvīdāʿ,
29,אֲבִיָּ֫הוּ,H,1+אב|3050+יה,de H1 et H3050,,N_N-M-P,Abija,"Abija = ""L'Eternel est un père""<br>1) roi de Juda, fils et successeur de Roboam<br>2) second fils de Samuel<br>3) fils de Jéroboam premier, roi d'Israël<br>4) fils de Béker, un Benjamite<br>5) chef d'une maison de sacrificateurs (groupe de Lévites)<br>6) chef d'une maison de sacrificateurs après l'exil <br>n pr f 7) mère d'Ezéchias (cf <a href=""strong-hebreu-21.html"" title=""Strong hébreu 021"">021</a>)",ʾăviyyāhū,
