nameid,title,ordered,morpholist,section
lexicon-all,Tous les lexèmes,ordered alphabetically,A;A-F;A-M;A_N;A_N-M;ADV;CONJ;D;H_N;H_N-M;I;INJ;N;N-F;N-M;N-M/F;N_A;N_N--L;N_N--LG;N_N--PG;N_N--T;N_N--TG;N_N-F-L;N_N-F-P;N_N-F-PG;N_N-F-T;N_N-M;N_N-M-P;N_N-M-PG;N_N-M-T;NP;P;P-FP;P-FS;P-MP;P-MS;PREP;PRON;PRT;R;V,general
lexicon-frequency,Tous les lexèmes,ordered by frequency,A;A-F;A-M;A_N;A_N-M;ADV;CONJ;D;H_N;H_N-M;I;INJ;N;N-F;N-M;N-M/F;N_A;N_N--L;N_N--LG;N_N--PG;N_N--T;N_N--TG;N_N-F-L;N_N-F-P;N_N-F-PG;N_N-F-T;N_N-M;N_N-M-P;N_N-M-PG;N_N-M-T;NP;P;P-FP;P-FS;P-MP;P-MS;PREP;PRON;PRT;R;V,general
nouns-all,Noms,ordered alphabetically,A_N;A_N-M;H_N;H_N-M;N;N-F;N-M;N-M/F,pos-content
nouns-frequency,Noms,ordered by frequency,A_N;A_N-M;H_N;H_N-M;N;N-F;N-M;N-M/F,pos-content
verbs-all,Verbes,ordered alphabetically,V,pos-content
verbs-frequency,Verbes,ordered by frequency,V,pos-content
adjectives-all,Adjectifs,ordered alphabetically,A;A-F;A-M,pos-content
adjectives-frequency,Adjectifs,ordered by frequency,A;A-F;A-M,pos-content
adverbs-all,Adverbes,ordered alphabetically,ADV,pos-content
adverbs-frequency,Adverbes,ordered by frequency,ADV,pos-content
interjections-all,Interjections,ordered alphabetically,INJ,pos-function
interjections-frequency,Interjections,ordered by frequency,INJ,pos-function
prepositions-all,Prépositions,ordered alphabetically,PREP,pos-function
prepositions-frequency,Prépositions,ordered by frequency,PREP,pos-function
demonstratives-all,Pronoms démonstratifs,ordered alphabetically,D,pos-function
demonstratives-frequency,Pronoms démonstratifs,ordered by frequency,D,pos-function
personal-pronouns-all,Pronoms personnels,ordered alphabetically,P;P-FP;P-FS;P-MP;P-MS,pos-function
personal-frequency,Pronoms personnels,ordered by frequency,P;P-FP;P-FS;P-MP;P-MS,pos-function
conjunctions-all,Conjonctions,ordered alphabetically,CONJ,pos-function
conjunctions-frequency,Conjonctions,ordered by frequency,CONJ,pos-function
particles-all,Particules,ordered alphabetically,PRT,pos-function
particles-frequency,Particules,ordered by frequency,PRT,pos-function
interrogatives-frequency,Outils interrogatifs,ordered by frequency,I,pos-function
negatives-frequency,Particules négatives,ordered by frequency,NP,pos-function
pronouns-frequency,Pronoms,ordered by frequency,PRON,pos-function
relatives-frequency,Pronoms relatifs,ordered by frequency,R,pos-function
persons-all,Personnes,ordered alphabetically,N_N-M-P;N_N-F-P;N_N-F-PG;N_N-M-PG;N_N--PG,meaning
persons-frequency,Personnes,ordered by frequency,N_N-M-P;N_N-F-P;N_N-F-PG;N_N-M-PG;N_N--PG,meaning
locations-all,Localités,ordered alphabetically,N_N--LG;N_N--L;N_N-F-L,meaning
locations-frequency,Localités,ordered by frequency,N_N--LG;N_N--L;N_N-F-L,meaning
gentilics-all,Gentilés,ordered alphabetically,N_N-F-PG;N_N-M-PG;N_N--PG;N_N--LG;N_N--TG,meaning
gentilics-frequency,Gentilés,ordered by frequency,N_N-F-PG;N_N-M-PG;N_N--PG;N_N--LG;N_N--TG,meaning
titles-all,Titres quelconques,ordered alphabetically,N_N-M-T;N_N-F-T;N_N--T;N_N--TG,meaning
titles-frequency,Titres quelconques,ordered by frequency,N_N-M-T;N_N-F-T;N_N--T;N_N--TG,meaning
